SITE_ID,VISIT_NO,DEPTH,TEMPERATURE,OXYGEN,PH,DENSITY,INDEX_SITE_DEPTH
NLA12_AL-101,1.0,12.6,23.6,3.5,7.4,997.424511597,13.1
NLA12_AL-101,2.0,13.5,28.8,1.3,7.3,996.034089264,13.7
NLA12_AL-102,1.0,16.8,11.3,0.6,10.7,999.602712453,17.3
NLA12_AL-103,1.0,6.0,29.2,5.1,7.7,995.916891614,6.5
NLA12_AL-104,1.0,19.3,29.0,5.5,7.6,995.975667535,19.8
NLA12_AL-105,1.0,4.1,19.1,1.2,6.5,998.414999938,4.6
NLA12_AL-105,2.0,4.5,19.3,1.3,6.3,998.375441973,5.0
NLA12_AL-112,1.0,3.3,26.5,1.1,6.7,996.680077623,3.8
NLA12_AL-113,1.0,2.0,25.0,6.8,5.7,997.075117666,2.5
NLA12_AL-114,1.0,3.0,30.1,1.2,7.3,995.64804911,3.5
NLA12_AL-R03,1.0,7.8,10.6,0.6,12.3,999.672998114,
NLA12_AL-R05,1.0,7.0,16.3,0.7,6.7,998.922869512,
NLA12_AZ-101,1.0,24.0,16.3,4.7,7.7,998.922869512,23.3
NLA12_AZ-101,2.0,24.0,19.6,4.0,7.5,998.315304407,24.4
NLA12_AZ-102,1.0,0.9,20.0,4.8,9.2,998.23363614,1.6
NLA12_AZ-103,1.0,3.5,19.4,4.3,7.7,998.355502635,3.6
NLA12_AZ-106,1.0,4.3,30.8,4.6,8.3,995.434076718,4.8
NLA12_AZ-107,1.0,3.5,22.2,6.0,8.5,997.754740417,3.6
NLA12_AZ-123,1.0,1.3,29.9,0.3,7.5,995.708404039,1.8
NLA12_AZ-127,1.0,4.0,14.0,4.6,7.7,999.273240789,4.3
NLA12_AZ-130,1.0,12.0,15.3,2.9,7.8,999.082829788,12.7
NLA12_AZ-130,2.0,22.0,15.8,0.4,7.5,999.004295072,21.2
NLA12_AZ-140,1.0,3.8,26.0,5.1,7.6,996.814100146,4.1
NLA12_AZ-143,1.0,3.0,18.8,0.3,7.1,998.473531611,4.0
NLA12_AZ-145,1.0,2.7,18.6,0.7,9.4,998.512013129,3.0
NLA12_AZ-157,1.0,1.4,16.7,2.5,8.7,998.855670334,1.6
NLA12_AZ-R01,1.0,7.8,14.2,0.8,6.3,999.24525905,
NLA12_AZ-R02,1.0,2.5,23.1,4.2,8.9,997.544677943,
NLA12_CA-101,1.0,11.5,18.9,6.6,7.8,998.454128736,12.0
NLA12_CA-101,2.0,8.6,19.4,6.6,7.5,998.355502635,9.2
NLA12_CA-102,1.0,1.7,23.6,6.0,8.4,997.424511597,2.2
NLA12_CA-103,1.0,19.3,8.5,9.8,10.1,999.844613709,19.8
NLA12_CA-104,1.0,28.5,9.8,1.4,7.6,999.745410397,29.9
NLA12_CA-105,1.0,3.8,21.0,3.5,8.2,998.022130385,4.3
NLA12_CA-106,1.0,2.2,24.0,2.3,8.7,997.326617531,2.7
NLA12_CA-107,1.0,7.3,18.4,9.4,7.6,998.55006075,8.3
NLA12_CA-108,1.0,13.5,18.3,8.9,6.4,998.568921248,14.0
NLA12_CA-111,1.0,4.6,21.4,9.5,7.4,997.934630914,5.1
NLA12_CA-111,2.0,4.8,22.6,9.2,7.9,997.662375889,5.4
NLA12_CA-112,1.0,5.8,24.3,7.0,8.1,997.252177717,6.3
NLA12_CA-116,1.0,34.0,4.0,4.3,7.2,999.999998502,34.5
NLA12_CA-119,1.0,32.5,11.4,6.9,6.8,999.592151485,33.0
NLA12_CA-121,1.0,13.8,13.8,0.9,7.5,999.300739482,14.3
NLA12_CA-123,1.0,5.2,19.1,7.3,6.5,998.414999938,5.7
NLA12_CA-128,1.0,3.0,16.4,7.1,6.7,998.906240479,3.5
NLA12_CA-132,1.0,7.8,16.3,11.2,8.0,998.922869512,9.6
NLA12_CA-135,1.0,15.5,14.4,6.8,6.5,999.216796636,16.0
NLA12_CA-138,1.0,0.8,17.2,9.5,7.6,998.769125663,1.3
NLA12_CA-141,1.0,3.2,16.0,4.2,6.2,998.972069844,3.7
NLA12_CA-143,1.0,7.8,16.6,2.6,8.1,998.872640626,8.3
NLA12_CA-145,1.0,3.0,23.3,9.0,8.1,997.496906247,3.5
NLA12_CA-154,1.0,2.5,20.0,6.9,8.2,998.23363614,3.0
NLA12_CA-156,1.0,2.2,24.2,8.4,8.5,997.277087685,2.7
NLA12_CA-157,1.0,6.7,17.6,9.9,8.1,998.697873523,7.2
NLA12_CA-166,1.0,6.2,20.5,9.7,7.4,998.129184787,6.7
NLA12_CA-167,1.0,7.8,7.3,11.9,7.3,999.915263059,8.3
NLA12_CA-168,1.0,23.5,19.0,2.6,8.8,998.4346181,24.1
