SITE_ID,VISIT_NO,thermocline_depth,buoyancy_frequency
NLA12_AL-101,1.0,6.42570986357,0.0012443016338
NLA12_AL-101,2.0,0.5,0.00163946139125
NLA12_AL-102,1.0,4.58257322956,0.0160696208543
NLA12_AL-103,1.0,1.45269968794,0.00117545943648
NLA12_AL-104,1.0,19.15,0.00387152444503
NLA12_AL-105,1.0,0.625,0.0151706664334
NLA12_AL-105,2.0,4.25,0.0122055692044
NLA12_AL-112,1.0,3.15,0.0136498750572
NLA12_AL-113,1.0,0.25,0.0170818875455
NLA12_AL-114,1.0,2.5,0.00302543486315
NLA12_AL-R03,1.0,3.74623103577,0.0145300562002
NLA12_AL-R05,1.0,4.91916739089,0.0125080209964
NLA12_AR-101,1.0,,
NLA12_AR-101,2.0,,
NLA12_AR-102,1.0,,
NLA12_AR-103,1.0,,
NLA12_AR-104,1.0,,
NLA12_AR-105,1.0,,
NLA12_AR-105,2.0,,
NLA12_AR-106,1.0,,
NLA12_AR-109,1.0,,
NLA12_AR-111,1.0,,
NLA12_AZ-101,1.0,3.69897487249,0.00305837765074
NLA12_AZ-101,2.0,20.6666833706,1.53108177757
NLA12_AZ-102,1.0,0.25,0.00314563776307
NLA12_AZ-103,1.0,2.11528186569,0.00204283492762
NLA12_AZ-106,1.0,1.99193106475,0.000929304580584
NLA12_AZ-107,1.0,0.25,0.000913137771945
NLA12_AZ-118,1.0,,
NLA12_AZ-123,1.0,0.25,0.00898634201508
NLA12_AZ-127,1.0,3.5,0.00279868799065
NLA12_AZ-130,1.0,6.49710680271,0.00648625878475
NLA12_AZ-130,2.0,20.639284719,0.00705450490196
NLA12_AZ-140,1.0,3.4,0.00131681890173
NLA12_AZ-143,1.0,2.5,0.00595361958122
NLA12_AZ-145,1.0,2.6,0.00380217806414
NLA12_AZ-157,1.0,0.701146354646,0.0168421524208
NLA12_AZ-R01,1.0,6.5519680396,0.00613255487316
NLA12_AZ-R02,1.0,0.986804718839,0.000947415906934
NLA12_CA-101,1.0,2.74521885362,0.000606618065183
NLA12_CA-101,2.0,8.3,0.000328297455505
NLA12_CA-102,1.0,0.25,0.00451374539256
NLA12_CA-103,1.0,19.15,0.00324477438152
NLA12_CA-104,1.0,15.5753568343,0.00297356475527
NLA12_CA-105,1.0,3.4,0.00499706146468
NLA12_CA-106,1.0,,0.00810809198871
NLA12_CA-107,1.0,4.5,0.000187435724162
NLA12_CA-108,1.0,0.5,0.000777401138732
NLA12_CA-111,1.0,3.35824743755,0.00477877025971
NLA12_CA-111,2.0,3.99705017915,0.00293502034691
NLA12_CA-112,1.0,4.78916871215,0.0020399975082
NLA12_CA-116,1.0,4.80875419929,0.00241269614806
NLA12_CA-119,1.0,7.31263814851,0.00396888081373
NLA12_CA-121,1.0,3.58396203193,0.00846177514666
NLA12_CA-123,1.0,5.1,0.000969088610118
NLA12_CA-128,1.0,2.5,0.00387313347505
NLA12_CA-132,1.0,2.67595813777,0.00216685982852
NLA12_CA-135,1.0,11.7029932661,0.00170563651972
NLA12_CA-138,1.0,0.65,-0.0
NLA12_CA-141,1.0,2.42706885626,0.0126766923608
NLA12_CA-143,1.0,5.32148491328,0.0026166650126
NLA12_CA-145,1.0,2.5,0.000712025330512
NLA12_CA-154,1.0,2.25,0.00288892740273
NLA12_CA-156,1.0,1.36791107434,0.00250754804573
NLA12_CA-157,1.0,1.51985339434,0.00208536976583
NLA12_CA-166,1.0,1.4958486339,0.0015229784521
NLA12_CA-167,1.0,4.78520272015,0.0086694206748
NLA12_CA-168,1.0,0.5,0.00536961824462
NLA12_CA-172,1.0,7.68033750717,0.00381587148431
NLA12_CA-174,1.0,2.78611174799,0.00107772328237
NLA12_CA-180,1.0,7.4824059267,0.00395223951266
NLA12_CA-181,1.0,5.15,0.000691243346356
NLA12_CA-188,1.0,5.40023493161,0.00565064964896
NLA12_CA-190,1.0,0.25,0.00050337652466
NLA12_CA-200,1.0,7.26257554832,0.00323446771049
NLA12_CA-206,1.0,10.284525939,0.00414052546451
NLA12_CA-208,1.0,0.25,0.000453105947115
NLA12_CA-212,1.0,6.51196880837,0.0109356057428
NLA12_CA-223,1.0,13.2437309742,0.00230721785122
NLA12_CA-R01,1.0,5.45446003011,0.0079304893463
NLA12_CA-R02,1.0,8.13082880056,0.00308123007652
NLA12_CA-R03,1.0,11.4616439546,0.00505036295334
NLA12_CA-R05,1.0,0.5,0.00197153399551
NLA12_CA-R06,1.0,5.25,0.00307413860547
NLA12_CA-R09,1.0,0.654289204987,0.000768925765938
NLA12_CA-R10,1.0,3.69328205894,0.0100654605984
NLA12_CA-R12,1.0,0.5,0.00111311583015
NLA12_CA-R13,1.0,,
NLA12_CO-101,1.0,1.12215071847,0.00619426992985
NLA12_CO-101,2.0,0.75,0.000815044504445
NLA12_CO-102,1.0,5.69251648495,0.00362368092165
NLA12_CO-103,1.0,4.25,0.000835663292888
NLA12_CO-104,1.0,,0.000191697550307
NLA12_CO-105,1.0,2.65744879366,0.00081453896883
NLA12_CO-106,1.0,5.30973834255,0.00417211592929
NLA12_CO-107,1.0,9.46465284158,0.00147968976237
NLA12_CO-108,1.0,1.67810508489,0.00061466322647
NLA12_CO-109,1.0,7.42257075378,0.00313078925815
NLA12_CO-110,1.0,1.58767568404,0.00153612965194
NLA12_CO-111,1.0,2.97366606736,0.000819198009156
NLA12_CO-114,1.0,3.13831003289,0.00581256709109
NLA12_CO-115,1.0,2.33288825369,0.000270371840572
NLA12_CO-117,1.0,4.25,0.00239525152677
NLA12_CO-119,1.0,5.76429223951,0.000363363580671
NLA12_CO-121,1.0,2.25,0.000664447950877
NLA12_CO-124,1.0,4.25,0.00910273817281
NLA12_CO-125,1.0,1.7059144392,0.000563582686042
NLA12_CO-127,1.0,1.8,0.000220573907864
NLA12_CO-129,1.0,1.45023325236,0.00236375151577
NLA12_CO-130,1.0,2.73899365784,0.0003185301192
NLA12_CO-131,1.0,5.83878407726,0.00137336603407
NLA12_CO-131,2.0,0.75,0.000342227835977
NLA12_CO-133,1.0,1.21124199274,0.00144234417755
NLA12_CO-R01,1.0,7.65854718186,0.0028427141166
NLA12_CO-R04,1.0,6.53963259747,0.00174757103837
NLA12_CO-R07,1.0,2.525,0.00606605300909
NLA12_CO-R10,1.0,5.42843116818,0.00509551688303
NLA12_CT-101,1.0,0.25,0.00299370531301
NLA12_CT-101,2.0,0.5,-0.0
NLA12_CT-102,1.0,5.73318001407,0.00774095301939
NLA12_CT-103,1.0,4.75351442778,0.0110491468245
NLA12_CT-104,1.0,2.32696053702,0.0101561438547
