,pred_var,prob
0,TN_tn_log,1.0
1,TP_tp_log,1.0
26,prec_tot_ann_mm_log,0.999981552624
4,airtemp_jja,0.928221234396
49,area_ha_log,0.640794186193
38,E_pr_gt90,0.204956727282
18,airtemp_ann,0.0655350356624
44,E_pr_gt95,0.0502350491042
36,lon_dd,0.029304777749
17,cur_NANI,0.0143331347987
28,lat_dd,0.00950169881302
48,E_pr_gt99,0.00732589785514
31,flux_Q_TN,0.00689300977024
20,cur_NAPI,0.00515314505591
41,E_pr_gt90_mam,0.00474649641818
25,flux_lnQ_TN,0.00470268882788
10,airtemp_mam,0.00422249399802
39,E_pr_gt95_mam,0.00293927592427
19,temp_surf,0.00189539366088
42,E_pr_gt99_mam,0.00127630646106
12,strat_thermod_m,0.001200938523
40,pdsi_jja,0.00107943160586
13,strat_surfminbot,0.000639803689363
8,strat_thermod_log,0.000538684961075
46,area_ha,0.000492937432206
34,pdsi_ann,0.000386268481275
6,depth_m,0.000356145296369
14,cur_NANI_FERT,0.000350030943834
27,strat_buoy_freq_s2,0.000329084047308
16,cur_NAPI_FERT,0.000310159406591
15,cur_NAPI_FERT_log,0.000298121821669
30,cur_NAPI_arcsinh,0.000295945203256
29,E_pr_gt99_jja,0.000287637907363
22,E_pr_gt95_jja,0.000284288280544
11,cur_NANI_FERT_log,0.000283668350635
24,cur_NANI_arcsinh,0.000268687294291
45,DOY_COL,0.000268473863809
35,pdsi_mam,0.000265621952203
2,depth_m_log,0.000264988472812
21,E_pr_gt90_jja,0.000264317476174
47,MONTH_COL,0.000262130349483
5,temp_mean,1.50636072054e-05
43,prec_tot_mam_mm_log,7.27966688235e-06
23,prec_tot_ann_mm,3.62205717413e-06
3,temp_bot,1.84203021743e-06
32,prec_tot_jja_mm_log,1.31147826748e-06
37,prec_tot_mam_mm,1.50874138992e-07
33,prec_tot_jja_mm,7.88060038239e-08
9,TN_tn_ugl,3.16680998381e-38
7,TP_tp_ugl,2.55034219319e-42
