,pred_var,prob
0,TP_tp_log,0.999998021639
1,TN_tn_log,0.999835618252
9,airtemp_mam,0.888641202448
48,lat_dd,0.716311299582
10,depth_m_log,0.643730783212
34,E_pr_gt90_mam,0.271313702368
38,E_pr_gt95_mam,0.115644618451
36,area_ha_log,0.100357796251
21,airtemp_ann,0.0956298622847
17,flux_lnQ_TN,0.0340426855764
23,prec_tot_mam_mm,0.0206534178013
45,E_pr_gt99_mam,0.0173247444689
2,airtemp_jja,0.00949052826373
22,flux_Q_TN,0.00730838104528
26,E_pr_gt95,0.00685546602225
24,E_pr_gt90,0.00631967471223
20,strat_thermod_m,0.00554193793841
14,depth_m,0.00372750373228
27,temp_surf,0.00352015001781
19,strat_surfminbot,0.00342561085926
31,E_pr_gt99,0.00305929447991
29,prec_tot_mam_mm_log,0.00226951279666
11,temp_mean,0.00180979953957
15,strat_thermod_log,0.00173595711339
49,prec_tot_jja_mm,0.00166496564899
16,cur_NANI,0.00159408886893
25,cur_NAPI,0.00155301303077
35,pdsi_mam,0.00135301453289
41,cur_NANI_arcsinh,0.00119382276194
4,cur_NAPI_FERT,0.00116479028527
43,lon_dd,0.00115646965078
37,E_pr_gt90_jja,0.00109818725585
44,MONTH_COL,0.00107353767498
40,cur_NAPI_arcsinh,0.00103952971841
13,prec_tot_ann_mm,0.00100300671167
39,E_pr_gt99_jja,0.00091376385968
18,prec_tot_ann_mm_log,0.000908197391094
6,cur_NAPI_FERT_log,0.000900046129699
32,E_pr_gt95_jja,0.000877151092437
33,pdsi_jja,0.000870954156642
5,cur_NANI_FERT_log,0.000782704473734
42,DOY_COL,0.000767907590028
30,pdsi_ann,0.000642902562393
8,cur_NANI_FERT,0.000636529737603
28,strat_buoy_freq_s2,0.000632830116215
46,area_ha,0.000606940992096
47,prec_tot_jja_mm_log,0.000598449807462
7,temp_bot,6.41450827763e-05
12,TN_tn_ugl,5.37844702689e-07
3,TP_tp_ugl,5.86422827158e-09
