,pred_var,prob
0,depth_m_log,1.0
7,cur_NANI_FERT_log,0.939810046956
20,E_pr_gt95_jja,0.937624451643
11,prec_tot_ann_mm,0.720387090993
4,cur_NAPI_FERT,0.610537016426
5,cur_NANI_FERT,0.387906237902
13,prec_tot_ann_mm_log,0.279612671993
22,E_pr_gt90_jja,0.0623685797939
9,cur_NAPI_FERT_log,0.0527737586147
6,airtemp_jja,0.00707530939856
34,area_ha_log,0.00162135247637
36,DOY_COL,0.000141102897944
14,flux_lnQ_TN,7.87508668904e-05
41,lat_dd,2.95670928003e-05
1,depth_m,1.46145664554e-05
16,airtemp_mam,5.34640694149e-06
37,MONTH_COL,3.50312699513e-06
38,pdsi_jja,3.19991912728e-06
15,cur_NANI,1.32326510833e-06
44,area_ha,1.28495143643e-06
19,strat_buoy_freq_s2,5.22020266932e-07
17,flux_Q_TN,5.06881759473e-07
12,temp_mean,4.23565674206e-07
2,strat_thermod_log,3.94429622398e-07
26,airtemp_ann,2.33862998144e-07
32,cur_NAPI_arcsinh,2.25276181567e-07
10,strat_surfminbot,1.33355839843e-07
3,temp_bot,1.28511479182e-07
39,lon_dd,1.0821001667e-07
8,strat_thermod_m,1.04368769056e-07
29,pdsi_ann,8.52536709585e-08
31,cur_NANI_arcsinh,8.25617825523e-08
28,temp_surf,5.94550919244e-08
30,pdsi_mam,5.5390598732e-08
25,cur_NAPI,4.89186838803e-08
23,E_pr_gt99_jja,1.74539110965e-09
18,E_pr_gt90,1.68461396777e-10
24,E_pr_gt95,1.01965024107e-10
45,E_pr_gt90_mam,2.16760594475e-12
21,prec_tot_mam_mm,1.36973036041e-13
42,E_pr_gt95_mam,1.38342614673e-14
33,E_pr_gt99,7.95905324574e-17
43,E_pr_gt99_mam,5.85381641675e-18
40,prec_tot_jja_mm,1.13984631401e-19
27,prec_tot_mam_mm_log,3.64944143076e-20
35,prec_tot_jja_mm_log,4.70060885822e-28
