,pred_var,prob
0,depth_m_log,1.0
7,airtemp_jja,0.999312161884
27,lon_dd,0.998999999703
8,prec_tot_ann_mm_log,0.990497596079
10,cur_NAPI_FERT,0.894935708232
11,cur_NANI_FERT,0.10506429164
9,prec_tot_ann_mm,0.00950232300709
37,area_ha_log,0.000899134210614
15,airtemp_mam,0.000685561032004
45,E_pr_gt90_mam,5.40133583327e-05
35,pdsi_jja,4.28917974828e-05
41,area_ha,4.20302525672e-06
43,E_pr_gt95_mam,1.29937452441e-06
18,E_pr_gt90,3.21639724366e-07
14,strat_buoy_freq_s2,1.77271863317e-07
19,airtemp_ann,1.53243523305e-07
2,strat_surfminbot,1.06553102069e-07
22,E_pr_gt95,2.34369517718e-08
29,E_pr_gt99,1.20231033017e-08
39,E_pr_gt99_mam,7.21812195674e-09
25,pdsi_ann,6.30890604796e-09
40,lat_dd,2.38128649111e-09
4,strat_thermod_log,1.82453507397e-09
12,cur_NANI_FERT_log,9.2839161479e-10
38,E_pr_gt90_jja,8.07667880023e-10
32,E_pr_gt95_jja,7.14195774297e-10
34,E_pr_gt99_jja,3.3026853515e-10
13,cur_NAPI_FERT_log,3.27531221723e-10
17,cur_NANI,3.15366608367e-10
3,depth_m,2.25478941331e-10
1,temp_bot,1.79844534801e-10
24,flux_Q_TN,8.72648192792e-11
16,flux_lnQ_TN,4.94025911329e-11
26,cur_NAPI,2.9150850205e-11
42,DOY_COL,2.59596134659e-11
36,cur_NANI_arcsinh,2.21273652914e-11
30,cur_NAPI_arcsinh,1.93034978601e-11
44,MONTH_COL,1.90835318578e-11
23,pdsi_mam,1.85609518055e-11
5,strat_thermod_m,1.7773054194e-11
28,temp_surf,1.45238378439e-11
6,temp_mean,8.31159210245e-12
20,prec_tot_mam_mm,4.87258571102e-16
21,prec_tot_mam_mm_log,3.9556029202e-17
33,prec_tot_jja_mm,5.32758939748e-18
31,prec_tot_jja_mm_log,5.26492146924e-18
