SITE_ID,VISIT_NO,mic_log_above_dl,DOY_COL,E_pr_gt90,E_pr_gt90_jja,E_pr_gt90_mam,E_pr_gt95,E_pr_gt95_jja,E_pr_gt95_mam,E_pr_gt99,E_pr_gt99_jja,E_pr_gt99_mam,MONTH_COL,TN_tn_log,TN_tn_ugl,TP_tp_log,TP_tp_ugl,airtemp_ann,airtemp_jja,airtemp_mam,area_ha,area_ha_log,cur_NANI,cur_NANI_FERT,cur_NANI_FERT_log,cur_NANI_arcsinh,cur_NAPI,cur_NAPI_FERT,cur_NAPI_FERT_log,cur_NAPI_arcsinh,depth_m,depth_m_log,flux_NFERTxE_pr_gt90,flux_NFERTxE_pr_gt95,flux_NFERTxE_pr_gt99,flux_NFERTxprec_tot_ann_mm,flux_NFERTxprec_tot_ann_mm_log,flux_PFERTxE_pr_gt90,flux_PFERTxE_pr_gt95,flux_PFERTxE_pr_gt99,flux_PFERTxprec_tot_ann_mm,flux_PFERTxprec_tot_ann_mm_log,flux_Q_TN,flux_lnQ_TN,lat_dd,lon_dd,pdsi_ann,pdsi_jja,pdsi_mam,prec_tot_ann_mm,prec_tot_ann_mm_log,prec_tot_jja_mm,prec_tot_jja_mm_log,prec_tot_mam_mm,prec_tot_mam_mm_log,strat_buoy_freq_s2,strat_surfminbot,strat_thermod_log,strat_thermod_m,temp_bot,temp_mean,temp_surf
NLA06608-0006,1,-1.71479842809,198,926.939281058,210.994412367,336.983050847,531.914881728,76.6822499534,298.496740547,94.6658595642,0.0,94.6658595642,7,5.21493575761,184.0,1.94591014906,7.0,9.30679652272,20.2607175965,6.97650815217,56.19974819,4.02891227628,1600.183515,290.1401698,5.67036415035,8.07102087672,74.75306828,38.00506924,3.63771955188,5.00738217477,25.3,3.23080439573,268942.3204,154329.874104,27466.3685682,437121.939303,12.9879674725,35228.3915579,20215.4619099,3597.7825474,57258.012846,10.955322874,48238.3520186,10.4742650687,41.6831462,-73.1465177,0.256148045467,0.962633353743,1.33400149065,1506.5888312,7.31760332212,359.575661644,5.88492461856,484.5362796,6.18319230902,0.0147150177431,19.84,1.52403633415,4.59071751933,5.46,10.9148,25.3
NLA06608-0006,2,-0.562118918154,242,926.939281058,210.994412367,336.983050847,531.914881728,76.6822499534,298.496740547,94.6658595642,0.0,94.6658595642,8,5.40717177146,223.0,1.38629436112,4.0,9.30679652272,20.2607175965,6.97650815217,56.19974819,4.02891227628,1600.183515,290.1401698,5.67036415035,8.07102087672,74.75306828,38.00506924,3.63771955188,5.00738217477,23.8,3.16968558068,268942.3204,154329.874104,27466.3685682,437121.939303,12.9879674725,35228.3915579,20215.4619099,3597.7825474,57258.012846,10.955322874,48238.3520186,10.4742650687,41.6831462,-73.1465177,0.256148045467,0.962633353743,1.33400149065,1506.5888312,7.31760332212,359.575661644,5.88492461856,484.5362796,6.18319230902,0.0103878595938,19.03,1.70868452623,5.52169305559,5.67,11.0056,24.7
NLA06608-0016,2,0.262364264467,192,614.147624377,175.980160749,338.624987283,497.61369417,137.513683996,296.217723064,287.446840981,57.1870993997,230.259741581,7,6.55677835616,704.0,3.66356164613,39.0,11.5849677556,24.4770944081,12.326567029,641.0233086,6.46306581913,2093.539692,3437.974267,8.14263770104,8.33975878252,329.6865466,473.561138,6.16028102362,6.49129182487,6.8,1.91692261218,2111423.72875,1710783.07546,988234.842423,2470327.6197,14.7198613394,290836.4479,235650.507296,136123.653129,340273.390073,12.7375046619,16625.7727008,9.40906474269,41.0302522,-100.7797567,3.07536354705,4.57753521372,2.83382523288,718.541625925,6.57722363832,202.077105741,5.30864933616,377.055803883,5.9323931974,0.0,0.0,-0.69314718056,0.5,24.0,24.0,24.0
NLA06608-0019,2,2.99573227355,219,625.501525893,245.899009343,274.341800085,516.835297432,193.46697028,230.760176534,195.373444763,31.1563923189,117.280200948,8,8.79148602675,6578.0,7.22693601849,1376.0,6.93376645375,22.0071402761,7.11724513616,103.3135279,4.63776832496,2122.402799,2045.561814,7.62342775642,8.35345135767,297.2836868,367.0548319,5.90551124262,6.38783686664,1.0,0.0,1279502.03597,1057218.54855,399648.458077,1404625.5785,14.1552813331,229593.35744,189706.893219,71712.7669252,252045.478201,12.4373648193,11699.7138639,9.05767506441,46.3668879,-99.5118588,0.120669402968,1.86301515309,-1.28072506732,686.669827764,6.53185357664,260.582232858,5.56291848454,295.590239003,5.68897416756,0.00347304011256,0.9,-1.38629436112,0.25,20.9,21.2333333333,21.8
NLA06608-0021,2,0.405465108108,242,540.750495474,126.719642188,131.038798722,325.852982663,82.227275162,59.616440802,83.471208956,26.437909547,0.0,8,6.13772705409,463.0,2.3978952728,11.0,8.64236220266,20.1692907538,6.52491478535,4226.925272,8.34923012168,2758.877849,1543.255742,7.34164958199,8.61572651299,267.7025236,286.511871,5.65777996985,6.28302704646,46.3,3.83514196109,834516.30713,502874.486543,128817.422513,1517844.68272,14.2328019147,154931.436202,93360.7477337,23915.4922526,281794.201764,12.5489323025,6265.06914159,8.43310030344,42.7719197,-77.3095481,2.11486253085,2.50177216666,4.16026159383,983.534122969,6.89115233267,217.64281888,5.38285527356,224.371096959,5.41330136392,0.00771009590752,18.0,2.68631567668,14.6774995263,5.5,17.3791666667,23.5
NLA06608-0024,1,-1.34707364797,192,1380.15707095,500.217764261,411.128436601,1021.09228787,402.239756112,307.466721596,347.635396692,141.741862416,60.2388302972,7,6.75693238925,860.0,3.55534806149,35.0,19.1999011758,27.3312931349,19.4190277752,9530.145112,9.16221522339,3349.739051,1745.754223,7.46494196074,8.8097849294,451.2862582,194.8328684,5.27214210593,6.8052502651,12.9,2.55722731137,2409415.03501,1782576.17362,606885.961839,2916755.1545,14.8859823079,268899.960976,198942.339347,67730.8014949,325521.064584,12.6931824531,22346.4653226,9.70477883642,32.1220497,-95.4884341,0.494778155629,1.73825976235,-2.67849322323,1670.77078553,7.42104034715,609.120914878,6.4120167946,478.941458074,6.17157837298,0.00704754075172,6.8,2.44167022531,11.4922193176,21.0,25.9285714286,27.8
NLA06608-0024,2,-1.60943791243,226,1380.15707095,500.217764261,411.128436601,1021.09228787,402.239756112,307.466721596,347.635396692,141.741862416,60.2388302972,8,6.84906628263,943.0,3.36729582999,29.0,19.1999011758,27.3312931349,19.4190277752,9530.145112,9.16221522339,3349.739051,1745.754223,7.46494196074,8.8097849294,451.2862582,194.8328684,5.27214210593,6.8052502651,10.5,2.35137525716,2409415.03501,1782576.17362,606885.961839,2916755.1545,14.8859823079,268899.960976,198942.339347,67730.8014949,325521.064584,12.6931824531,22346.4653226,9.70477883642,32.1220497,-95.4884341,0.494778155629,1.73825976235,-2.67849322323,1670.77078553,7.42104034715,609.120914878,6.4120167946,478.941458074,6.17157837298,0.00412512060552,8.3,2.09031310107,8.08744695622,24.5,29.3272727273,32.8
NLA06608-0029,1,-1.77195684193,183,587.426654537,118.343415965,163.433932226,359.544916989,59.0941551058,135.916988856,40.0552649534,0.0,40.0552649534,7,7.65254569269,2106.0,5.50938833663,247.0,14.0385580815,23.2252465252,10.3360541735,73.10037419,4.29183348562,11609.45965,3533.142624,8.16994301564,10.0527227142,4722.518974,311.6234587,5.74179559582,9.15324480892,1.7,0.530628251062,2075462.15162,1270323.47146,141520.963922,3260011.42328,14.9972412574,183055.925819,112042.63059,12482.1602039,287533.265208,12.5690938376,6360.51473811,8.44821998672,38.7560105,-75.2150379,-0.58509958942,-1.10929196466,1.00235713742,922.694544267,6.82729824178,191.124142437,5.25292317732,227.569421758,5.42745534243,0.000497698854096,0.2,-0.00189021079938,0.998111574524,24.5,24.625,24.7
NLA06608-0037,1,-1.96611285637,194,1004.80155416,251.287520297,297.549640455,598.665274878,159.632451867,244.460913941,134.37914637,0.0,134.37914637,7,5.47646355193,239.0,2.63905732962,14.0,9.46118419338,20.4797617165,7.21422387883,236.955581,5.46787270163,1600.183515,290.1401698,5.67036415035,8.07102087672,74.75306828,38.00506924,3.63771955188,5.00738217477,12.5,2.52572864431,291533.293539,173696.844506,38988.7883454,452695.781511,13.0229756149,38187.5526383,22752.3152233,5107.0887622,59298.0094167,10.9903310164,37284.982558,10.2167013122,41.6969929,-73.3639855,0.49668282504,1.10356586897,1.62043743495,1560.26579092,7.35261146453,418.158263195,6.03585998095,439.028868088,6.08456516966,0.0110491468245,16.3,1.57071558214,4.81008897632,9.1,16.9357142857,25.4
NLA06608-0057,2,-1.30933331998,195,442.29782772,88.2161637661,92.7291849255,250.198259672,33.643733567,64.6205083261,44.3038687868,0.0,44.3038687868,7,6.84481547921,939.0,5.35658627467,212.0,17.5758125045,27.7540418719,15.9685869565,53.02839363,3.97082749897,9580.210817,1993.42542,7.59760975453,9.86060205996,4134.519885,451.748899,6.11312649228,9.02027368586,2.7,0.99325177301,881687.732988,498751.57087,88316.458244,1447414.99078,14.1852897584,199807.556703,113026.788339,20014.2239459,328012.335912,12.7008064961,10211.476314,8.92162289561,34.9618921,-80.5168614,-1.47663795862,-1.58811976493,-0.0569572569824,726.094378178,6.58768000387,196.993869695,5.28317260995,153.533978045,5.03392189787,0.000410317456182,0.17,0.741937344729,2.1,27.3,27.3816666667,27.47
