SITE_ID,VISIT_NO,lon_dd,lat_dd,trophic_cat,tp_ugl,chla_ugl,mic_ppb,tn_ugl,P_net_kgha,P_crop_kgha,P_fert_kgha,P_manu_kgha,prec_tot_ann_mm,prec_tot_mon_1_mm,prec_tot_mon_2_mm,prec_tot_mon_3_mm,prec_tot_mon_4_mm,prec_tot_mon_5_mm,prec_tot_mon_6_mm,prec_tot_mon_7_mm,prec_tot_mon_8_mm,prec_tot_mon_9_mm,prec_tot_mon_10_mm,prec_tot_mon_11_mm,prec_tot_mon_12_mm,chla_log,mic_log,P_crop_log,P_fert_log,P_manu_log,tn_log,tp_log,prec_tot_ann_log,DATE_COL,MONTH_COL,prec_tot_mon_s_0_mm,prec_tot_mon_s_1_mm,prec_tot_mon_s_2_mm,prec_tot_mon_s_3_mm,prec_tot_mon_s_4_mm,cybv_um3ml,cybv_log,totbv_u3ml,cypro,temp_surf,temp_mean,temp_bot,strat_thermod_m,strat_buoy_freq_s2,strat_thermod_log,strat_surfminbot
NLA12_AL-101,1,-87.42056,33.2691,OLIGOTROPHIC,30.0,18.0,0.09665,505.0,46.4545844251,8.14134004209,8.01000195873,46.5859232659,1421.98070118,195.643893191,79.6110371319,145.814258997,32.7337339279,115.509773658,66.6852239538,204.419119883,95.6510974171,206.343987832,48.4162477488,45.7250605455,185.427266895,2.8903717579,-2.33665907333,2.0969547908,2.08069100562,3.84129841966,6.22455842928,3.40119738166,7.25980603867,2012-05-24,5,115.509773658,32.7337339279,145.814258997,79.6110371319,195.643893191,925910.4424,13.7385327945,4816820.0187,0.192224421674,,24.9125,23.6,6.42570986357,0.0012443016338,1.86030710928,
NLA12_AL-101,2,-87.421347,33.268766,MESOTROPHIC,25.0,17.52,0.12507,376.0,46.4545844251,8.14134004209,8.01000195873,46.5859232659,1421.98070118,195.643893191,79.6110371319,145.814258997,32.7337339279,115.509773658,66.6852239538,204.419119883,95.6510974171,206.343987832,48.4162477488,45.7250605455,185.427266895,2.86334308551,-2.07888169842,2.0969547908,2.08069100562,3.84129841966,5.92958914339,3.21887582487,7.25980603867,2012-07-21,7,204.419119883,66.6852239538,115.509773658,32.7337339279,145.814258997,221401.599,12.3077335215,7325533.8328,0.0302232716486,30.25,29.25,28.8,0.5,0.00163946139125,-0.69314718056,1.45
NLA12_AL-102,1,-86.83922,34.22557,MESOTROPHIC,12.0,10.0,0.13382,389.0,144.068596035,17.2136524486,17.413477529,143.868777384,1411.40764324,229.90289858,67.425708432,138.133380504,26.5263407189,92.0282548677,65.2824956321,206.108158642,82.5945957271,229.911123749,36.3079507106,51.671898087,185.514837587,2.30258509299,-2.01125966563,2.84570281598,2.85724447703,4.96890161595,5.96357934362,2.48490664979,7.25234281391,2012-07-17,7,206.108158642,65.2824956321,92.0282548677,26.5263407189,138.133380504,1920076.5684,14.4678756226,4023699.9403,0.477191787879,30.35,18.2157894737,11.3,4.58257322956,0.0160696208543,1.52226068087,19.05
NLA12_AL-103,1,-86.19018,33.54535,MESOTROPHIC,56.0,32.0,0.10968,449.0,23.5115458848,9.22181154939,5.26172654607,27.4716311026,1179.54392456,162.417983749,57.2265109915,131.706790059,40.7523478983,101.001501926,61.9646581982,144.905016019,96.8391931143,154.774621135,22.3124183602,35.9424306057,169.700452507,3.4657359028,-2.21018824373,2.22157149868,1.66045921359,3.31315387594,6.10702288774,4.02535169074,7.07288313814,2012-07-19,7,144.905016019,61.9646581982,101.001501926,40.7523478983,131.706790059,4101831.4434,15.2269441254,17701297.6142,0.231724901349,29.95,29.5125,29.2,1.45269968794,0.00117545943648,0.373423679083,0.75
NLA12_AL-104,1,-87.85232,32.53195,MESOTROPHIC,37.0,8.945454545,0.07536,344.0,9.55219630349,14.8301423818,7.20482057941,17.1775182618,1413.958939,166.204742622,92.5125699226,152.231727153,48.8420182205,119.82675333,59.1629745118,171.131003724,127.334620693,198.752743047,43.1040392867,45.5788321934,189.276914295,2.19114553121,-2.58547864871,2.69666175703,1.97475032691,2.84360145104,5.84064165737,3.61091791264,7.25414880714,2012-07-23,7,171.131003724,59.1629745118,119.82675333,48.8420182205,152.231727153,33249.8655,10.411806001,1601695.3351,0.0207591698442,31.4,29.9090909091,29.0,19.15,0.00387152444503,2.95230271563,2.4
NLA12_AL-105,1,-88.35047,31.6207,EUTROPHIC,106.0,144.8,0.25983,1850.0,1.56919198321,0.463982615537,1.06530458584,0.967870045011,1691.66474703,154.100708842,178.540795445,192.897705793,64.5489128828,106.220606416,89.7596030235,183.049543023,318.650589466,155.073493958,28.167470336,41.8521897793,178.803128064,4.97535347995,-1.34772770797,-0.767908193974,0.0632607543674,-0.0326574517396,7.52294091807,4.66343909411,7.43346838048,2012-05-23,5,106.220606416,64.5489128828,192.897705793,178.540795445,154.100708842,40996557.742,17.5289986636,42868574.84,0.956331249523,,25.9,19.1,0.625,0.0151706664334,-0.470003629246,
NLA12_AL-105,2,-88.34999,31.6206,EUTROPHIC,58.0,35.76,0.19399,1078.0,1.56919198321,0.463982615537,1.06530458584,0.967870045011,1691.66474703,154.100708842,178.540795445,192.897705793,64.5489128828,106.220606416,89.7596030235,183.049543023,318.650589466,155.073493958,28.167470336,41.8521897793,178.803128064,3.57682995031,-1.63994866764,-0.767908193974,0.0632607543674,-0.0326574517396,6.98286275147,4.06044301055,7.43346838048,2012-07-24,7,183.049543023,89.7596030235,106.220606416,64.5489128828,192.897705793,7567217.081,15.8393359331,7850171.3911,0.963955651921,32.25,27.4857142857,19.3,4.25,0.0122055692044,1.44691898294,12.95
NLA12_AL-112,1,-88.16674,33.36433,MESOTROPHIC,33.0,9.386666667,0.0,379.0,0.0,0.0,0.0,0.0,1433.93421367,153.51046285,110.783985227,146.602517158,57.9798172712,115.489490032,56.7720127106,166.818080276,147.291137815,194.449828029,32.2007345557,53.2415409684,198.794606775,2.23929024266,-inf,-inf,-inf,-inf,5.93753620508,3.49650756147,7.268177144,2012-07-22,7,166.818080276,56.7720127106,115.489490032,57.9798172712,146.602517158,673498.8581,13.4202415794,7116806.7908,0.0946349785652,30.1,29.0333333333,26.5,3.15,0.0136498750572,1.14740245284,3.6
NLA12_AL-113,1,-88.05455,30.97354,MESOTROPHIC,27.0,1.27,0.05739,248.0,3.04753220092,1.90691992817,4.39725228703,0.557199789894,1903.93029175,131.220273698,174.752821177,153.393495359,62.8854936737,170.463369942,279.808539935,209.705335003,328.92641051,208.882827371,6.98970493187,34.2198042256,142.682215921,0.23901690047,-2.85788520686,0.645489337361,1.48097986564,-0.584831414151,5.51342874616,3.295836866,7.5516756032,2012-08-08,8,328.92641051,209.705335003,279.808539935,170.463369942,62.8854936737,17662.7978,9.77921588743,169903.5065,0.103957817963,29.55,27.0666666667,25.0,0.25,0.0170818875455,-1.38629436112,4.55
NLA12_AL-114,1,-85.93198,33.88175,MESOTROPHIC,62.0,17.5,0.08847,510.0,16.9666162306,14.7697389743,10.9545046445,20.7818513312,1197.53103015,164.952924443,58.0321056673,137.282110998,26.7769917335,82.0529877203,75.7735288952,139.742208506,119.328363091,163.407107421,28.4492601795,37.7712903789,163.962151114,2.86220088093,-2.42509176749,2.69258042369,2.39375075472,3.03408007368,6.23441072572,4.12713438505,7.08801724139,2012-07-26,7,139.742208506,75.7735288952,82.0529877203,26.7769917335,137.282110998,475063.546,13.0712038551,2567797.6324,0.185008171986,32.5,31.62,30.1,2.5,0.00302543486315,0.916290731874,2.4
