,NLA12_ID,AreaSqKM,time
0,NLA12_AL-101,10931.76757,1700.442674
1,NLA12_AL-102,12.291042,428.3084779
2,NLA12_AL-103,20059.22454,720
3,NLA12_AL-104,39858.51147,854.214839
4,NLA12_AL-105,2.347797,913.538362
5,NLA12_AL-106,0.477102,670.8609438
6,NLA12_AL-107,0.71269,489.5528281
7,NLA12_AL-112,1.2397,367.4784081
8,NLA12_AL-113,39.009894,488.629513
9,NLA12_AL-114,3.313058,428.1377819
10,NLA12_AL-R03,9.474173,585.462064
11,NLA12_AL-R05,9.635399,616.249357
12,NLA12_AR-101,57.203217,646.479939
13,NLA12_AR-102,1.1322,1167.74042
14,NLA12_AR-103,3769.562352,708.3128061
15,NLA12_AR-104,44.840065,555.4777288
16,NLA12_AR-105,1.593,1290.57982
17,NLA12_AR-106,51.05269,524.3933022
18,NLA12_AR-109,0.2115,1878.430132
19,NLA12_AR-111,0.723411,600
20,NLA12_AZ-101,16033.13796,
21,NLA12_AZ-102,64.445413,
22,NLA12_AZ-103,33.470228,
23,NLA12_AZ-104,172.429439,
24,NLA12_AZ-105,35.0977,
25,NLA12_AZ-106,3.9348,
26,NLA12_AZ-107,1938.510827,
27,NLA12_AZ-112,0.0333,
28,NLA12_AZ-117,1.327162,
29,NLA12_AZ-118,0.3042,
30,NLA12_AZ-123,25.002002,
31,NLA12_AZ-127,43.080347,
32,NLA12_AZ-129,1.3482,
33,NLA12_AZ-130,15051.69717,
34,NLA12_AZ-131,2.7108,
35,NLA12_AZ-133,17.511774,
36,NLA12_AZ-134,222.679556,
37,NLA12_AZ-139,0.1323,
38,NLA12_AZ-140,1.427925,
39,NLA12_AZ-143,6.9273,
40,NLA12_AZ-145,92.984737,
41,NLA12_AZ-150,33.49449,
42,NLA12_AZ-153,144.240092,
43,NLA12_AZ-157,0.2934,
44,NLA12_AZ-R01,10.249991,
45,NLA12_AZ-R02,30.884809,
46,NLA12_CA-101,93.24587,
47,NLA12_CA-102,531.945181,
48,NLA12_CA-103,122.378616,
49,NLA12_CA-104,6.94796,
50,NLA12_CA-105,0.6399,
51,NLA12_CA-106,1.2375,
52,NLA12_CA-107,13.30727,
53,NLA12_CA-108,3784.333003,
54,NLA12_CA-110,0.5814,
55,NLA12_CA-111,352.389376,
56,NLA12_CA-112,129.938534,
57,NLA12_CA-114,0.2097,
58,NLA12_CA-116,1.22265,
59,NLA12_CA-118,10.573016,
60,NLA12_CA-119,2342.940283,
61,NLA12_CA-121,1010.562023,
62,NLA12_CA-122,2.180352,
63,NLA12_CA-123,1.689356,
64,NLA12_CA-126,12.587135,
65,NLA12_CA-128,1.641216,
66,NLA12_CA-130,2.412703,
67,NLA12_CA-132,30.917287,
68,NLA12_CA-133,1.283223,
69,NLA12_CA-134,1.722136,
70,NLA12_CA-135,32.149027,
71,NLA12_CA-137,0.638632,
72,NLA12_CA-138,4.634498,
73,NLA12_CA-139,1.933735,
74,NLA12_CA-141,0.6804,
75,NLA12_CA-142,1.737359,
76,NLA12_CA-143,0.0495,
77,NLA12_CA-145,0.0954,
78,NLA12_CA-146,0.669187,
79,NLA12_CA-148,46.68643,
80,NLA12_CA-149,3.984542,
81,NLA12_CA-150,1.7082,
82,NLA12_CA-153,1.58171,
83,NLA12_CA-154,300.682313,
84,NLA12_CA-156,4.9725,
85,NLA12_CA-157,10.842222,
86,NLA12_CA-158,2.193799,
87,NLA12_CA-160,0.602826,
88,NLA12_CA-161,1.280451,
89,NLA12_CA-162,6.542927,
90,NLA12_CA-163,2.169355,
91,NLA12_CA-165,4.499524,
92,NLA12_CA-166,1.358997,
93,NLA12_CA-167,1.5282,
94,NLA12_CA-168,236.203735,
95,NLA12_CA-169,0.731147,
96,NLA12_CA-171,3.879262,
97,NLA12_CA-172,8.55869,
98,NLA12_CA-174,0.018554,
99,NLA12_CA-175,1.052718,
100,NLA12_CA-176,2.027173,
101,NLA12_CA-177,2.073571,
102,NLA12_CA-178,2.865346,
103,NLA12_CA-179,4.1121,
104,NLA12_CA-180,4825.379885,
105,NLA12_CA-181,0.2385,
106,NLA12_CA-183,2.221859,
107,NLA12_CA-184,37.518207,
108,NLA12_CA-185,4.290957,
109,NLA12_CA-186,0.674581,
110,NLA12_CA-188,78.267901,
111,NLA12_CA-189,11.815707,
112,NLA12_CA-190,19.914776,
113,NLA12_CA-191,0.243571,
114,NLA12_CA-192,47.880961,
115,NLA12_CA-193,0.685985,
116,NLA12_CA-199,0.400118,
117,NLA12_CA-200,0.99437,
118,NLA12_CA-201,0.5103,
119,NLA12_CA-205,0.422594,
120,NLA12_CA-206,15523.06128,
121,NLA12_CA-207,1.876622,
122,NLA12_CA-208,50.814,
123,NLA12_CA-210,20.28658,
124,NLA12_CA-211,3.217379,
125,NLA12_CA-212,2.841177,
126,NLA12_CA-213,1.924732,
127,NLA12_CA-214,4.8195,
128,NLA12_CA-215,1.8198,
129,NLA12_CA-216,0.6462,
130,NLA12_CA-219,4.760437,
131,NLA12_CA-221,4.335223,
132,NLA12_CA-223,19.869949,
133,NLA12_CA-R01,26.317361,
134,NLA12_CA-R02,445.727627,
135,NLA12_CA-R03,2685.586368,
136,NLA12_CA-R05,0.2367,
137,NLA12_CA-R06,0.1575,
138,NLA12_CA-R09,6.897309,
139,NLA12_CA-R10,10.163693,
140,NLA12_CA-R12,0.2493,
141,NLA12_CA-R13,6.450612,
142,NLA12_CO-101,22.8222,
143,NLA12_CO-102,5.610061,
144,NLA12_CO-103,62.955122,
145,NLA12_CO-104,32.197591,
146,NLA12_CO-105,4.641794,
147,NLA12_CO-106,14.0094,
148,NLA12_CO-107,35.239279,
149,NLA12_CO-108,12.248171,
150,NLA12_CO-109,18.344956,
151,NLA12_CO-110,0.9135,
152,NLA12_CO-111,29.199804,
153,NLA12_CO-113,2.6622,
154,NLA12_CO-114,0.2529,
155,NLA12_CO-115,0.902932,
156,NLA12_CO-116,3.1428,
157,NLA12_CO-117,8.75241,
158,NLA12_CO-119,0.984954,
159,NLA12_CO-121,1.43968,
160,NLA12_CO-123,1.0296,
161,NLA12_CO-124,0.486,
162,NLA12_CO-125,0.1143,
163,NLA12_CO-127,0.2898,
164,NLA12_CO-129,0.1989,
165,NLA12_CO-130,1.3203,
166,NLA12_CO-131,0.3708,
167,NLA12_CO-133,12.524698,
168,NLA12_CO-R01,52.736713,
169,NLA12_CO-R04,263.119816,
170,NLA12_CO-R07,1.4994,
171,NLA12_CO-R10,0.2484,
172,NLA12_CT-101,10.49955,
173,NLA12_CT-102,2.944465,
174,NLA12_CT-103,23.098184,
175,NLA12_CT-104,78.527527,
176,NLA12_CT-105,0.889079,
177,NLA12_CT-106,0.70782,
178,NLA12_CT-107,11.157052,
179,NLA12_CT-108,4.152761,
180,NLA12_CT-113,0.2088,
181,NLA12_CT-115,7.4304,
182,NLA12_CT-116,8.423713,
183,NLA12_CT-118,3.013523,
184,NLA12_CT-120,1.335099,
185,NLA12_CT-126,1.656796,
186,NLA12_CT-127,9.32355,
187,NLA12_DE-101,24.427013,
188,NLA12_DE-102,53.44019,
189,NLA12_DE-103,153.713862,
190,NLA12_DE-104,188.553002,
191,NLA12_DE-105,26.766043,
192,NLA12_DE-107,45.233751,
193,NLA12_DE-121,36.784407,
194,NLA12_FL-101,13104.2238,
195,NLA12_FL-102,18.2394,
196,NLA12_FL-103,361.074229,
197,NLA12_FL-104,8.917581,
198,NLA12_FL-105,2131.695389,
199,NLA12_FL-106,3.6207,
200,NLA12_FL-107,1.4121,
