SITE_ID,SITE_TYPE,VISIT_NO.x,DATE_COL,REPEAT,LON_DD.x,LAT_DD.x,ALBERS_X,ALBERS_Y,FLD_LON_DD,FLD_LAT_DD,FLD_FLAG,ST.x,STATE_NAME,CNTYNAME,EPA_REG.x,NHDNAME,LAKENAME,AREA_CAT7.x,BASINAREA_KM2,BASINAREA_HA,BASINAREA_LU_KM2,URBAN.x,ECO_LEV_3.x,ECO_L3_NAM,NUT_REG.x,NUTREG_NAME.x,ECO_NUTA.x,LAKE_ORIGIN.x,AREA_HA,SIZE_CLASS,LAKEAREA,LAKEPERIM,SLD,DEPTH_X,DEPTHMAX,ELEV_PT,HUC_2.x,HUC_8.x,REACHCODE,OmernikLevel_II,PTL,NTL,TURB,ANC,DOC,COND,CHLA,PTL_COND,NTL_COND,CHLA_COND,TURB_COND,ANC_COND,SALINITY_COND,DISTANCE_BUFR,BUFFERAREA_KM2,BUFFERAREA_HA,MISSDATA_KM2_BUFR,NLCD11_KM2_BUFR,NLCD12_KM2_BUFR,NLCD21_KM2_BUFR,NLCD22_KM2_BUFR,NLCD23_KM2_BUFR,NLCD24_KM2_BUFR,NLCD31_KM2_BUFR,NLCD32_KM2_BUFR,NLCD41_KM2_BUFR,NLCD42_KM2_BUFR,NLCD43_KM2_BUFR,NLCD51_KM2_BUFR,NLCD52_KM2_BUFR,NLCD71_KM2_BUFR,NLCD72_KM2_BUFR,NLCD73_KM2_BUFR,NLCD74_KM2_BUFR,NLCD81_KM2_BUFR,NLCD82_KM2_BUFR,NLCD90_KM2_BUFR,NLCD91_KM2_BUFR,NLCD92_KM2_BUFR,NLCD93_KM2_BUFR,NLCD94_KM2_BUFR,NLCD95_KM2_BUFR,NLCD96_KM2_BUFR,NLCD97_KM2_BUFR,NLCD98_KM2_BUFR,NLCD99_KM2_BUFR,LANDUSE_KM2_BUFR,PCT_OPENH20_BUFR,PCT_ICESNOW_BUFR,PCT_WATER_BUFR,PCT_DEVOPEN_BUFR,PCT_DEVLOW_BUFR,PCT_DEVMED_BUFR,PCT_DEVHIGH_BUFR,PCT_DEVELOPED_BUFR,PCT_BARREN_BUFR,PCT_DECID_BUFR,PCT_CONIF_BUFR,PCT_MIXED_BUFR,PCT_FOREST_BUFR,PCT_SHRUBLAND_BUFR,PCT_GRASS_BUFR,PCT_PASTURE_BUFR,PCT_CROPS_BUFR,PCT_AGRIC_BUFR,PCT_WDYWET_BUFR,PCT_EMHERBWET_BUFR,PCT_WETLAND_BUFR,NLCD11_KM2_BSN,NLCD12_KM2_BSN,NLCD21_KM2_BSN,NLCD22_KM2_BSN,NLCD23_KM2_BSN,NLCD24_KM2_BSN,NLCD31_KM2_BSN,NLCD32_KM2_BSN,NLCD41_KM2_BSN,NLCD42_KM2_BSN,NLCD43_KM2_BSN,NLCD51_KM2_BSN,NLCD52_KM2_BSN,NLCD71_KM2_BSN,NLCD72_KM2_BSN,NLCD73_KM2_BSN,NLCD74_KM2_BSN,NLCD81_KM2_BSN,NLCD82_KM2_BSN,NLCD90_KM2_BSN,NLCD91_KM2_BSN,NLCD92_KM2_BSN,NLCD93_KM2_BSN,NLCD94_KM2_BSN,NLCD95_KM2_BSN,NLCD96_KM2_BSN,NLCD97_KM2_BSN,NLCD98_KM2_BSN,NLCD99_KM2_BSN,LANDUSE_KM2_BSN,PCT_OPENH20_BSN,PCT_ICESNOW_BSN,PCT_WATER_BSN,PCT_DEVOPEN_BSN,PCT_DEVLOW_BSN,PCT_DEVMED_BSN,PCT_DEVHIGH_BSN,PCT_DEVELOPED_BSN,PCT_BARREN_BSN,PCT_DECID_BSN,PCT_CONIF_BSN,PCT_MIXED_BSN,PCT_FOREST_BSN,PCT_SHRUBLAND_BSN,PCT_GRASS_BSN,PCT_PASTURE_BSN,PCT_CROPS_BSN,PCT_AGRIC_BSN,PCT_WDYWET_BSN,PCT_EMHERBWET_BSN,PCT_WETLAND_BSN,BasinAreaToLakeArea_HA,LakePerimToLakeArea,mean.pct.imp_BUFR.1,mean.pct.imp_BSN,pixels.w.impsurf_BSN,roadlen_BUFR,roadDens_BUFR,roadlen_BSN,roadDens_BSN,mean.min.dist_inBUFR,mean.min.dist_inBSN,elev_stdev,elev_maxmin,maxmin_elev_BUFR,stdev_elev_BUFR,mean.pct.imp_BUFR,pixels.w.impsurf_BUFR,Class,Class3,Unstratified.1,ResTime,SedToVolRatio
NLA06608-1602,PROB_Lake,1,5/30/07,,-111.2821257,33.58147205,-1402732.705,-325541.742,-111.264571,33.574112,,AZ,Arizona,MARICOPA,Region_9,Apache Lake,Apache Lake,>100,15182.00693,1518200.693,15182.00693,NO,23,Arizona/New Mexico Mountains,II,Western Forested Mountains,II,MAN-MADE,887.14301,05:>500-5000 ha,8.8714301,43.82740376,4.150916482,26.2,26.2,583,15,15060106,1.51E+13,6.2,18,474,2.24,2696.5,3.84,1263,4.25,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,3:MOST DISTURBED,0.001798644,16.163,1616.3,0,8.262,0,0,0,0,0,0.055,0,0,0,0,0,7.734,0,0,0,0,0,0,0.112,0,0,0,0,0,0,0,0,0,16.163,51.1,0,51.1,0,0,0,0,0,0.3,0,0,0,0,47.9,0,0,0,0,0.7,0,0.7,62.877,0,61.704,18.124,3.565,0.93,46.92,0,34.325,9131.546,0.606,0,5532.512,254.217,0,0,0,3.011,0,18.324,0,0,0,0,13.382,0,0,0,0,15182.043,0.4,0,0.4,0.4,0.1,0,0,0.5,0.3,0.2,60.1,0,60.3,36.4,1.7,0,0,0,0.1,0.1,0.2,1711.33704,0.049402862,0.270964247,0.18851349,0.018450186,5.984038379,7.19E-13,11370.60251,0.748952531,1970.344883,1596.210624,9.798804,36.1196,286.03076,68.05355,0.270964247,0.014084507,STLA,STLA,0,152,0.115588
NLA06608-0979,PROB_Lake,1,5/30/07,,-103.5206581,43.76802869,-602434.8451,725508.9422,-103.511389,43.769444,Not in NHD Lake Polygon,SD,South Dakota,CUSTER,Region_8,Stockdale Lake,Stockade,"(20,50]",198.6688311,19866.88311,198.6688311,NO,17,Middle Rockies,II,Western Forested Mountains,II,MAN-MADE,45.95921044,02:>10-50 ha,0.459592104,5.401215627,2.247503123,7.1,7.1,1581.8,10,10120109,1.01E+13,6.2,68,952,1.07,2196.9,7.52,392,3.75,3:MOST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,1.449,144.9,0,0.491,0,0.023,0.034,0,0,0,0,0,0.714,0,0,0.077,0.057,0,0,0,0.052,0,0,0,0,0,0,0.001,0,0,0,0,1.449,33.9,0,33.9,1.6,2.3,0,0,3.9,0,0,49.3,0,49.3,5.3,3.9,3.6,0,3.6,0,0.1,0.1,0.606,0,3.6,1.549,1.091,0.132,0.095,0,0.267,155.471,0,0,8.12,21.252,0,0,0,6.18,0,0.026,0,0,0,0,0.274,0,0,0,0,198.663,0.3,0,0.3,1.8,0.8,0.5,0.1,3.2,0,0.1,78.3,0,78.4,4.1,10.7,3.1,0,3.1,0,0.1,0.1,432.2720717,0.117521941,2.716075157,0.737035282,0.052255964,8.466074564,6.57E-12,360.6553479,1.815359509,70.16174067,69.61974838,5.3395176,23.6271,105.2242,26.059631,2.716075157,0.198329854,ST,ST,0,136,0.495242
NLA06608-0955,PROB_Lake,1,6/3/07,,-105.2328863,41.17631286,-767302.2125,449248.3445,-105.22408,41.17534,,WY,Wyoming,LARAMIE,Region_8,Granite Springs Reservoir,Granite Springs Reservoir,"(50,100]",74.88752399,7488.752399,74.88752399,NO,21,Southern Rockies,II,Western Forested Mountains,II,MAN-MADE,68.19465534,03:>50-100 ha,0.681946553,6.509687317,2.223719615,21.4,21.4,2196,10,10190009,1.02E+13,6.2,10,288,2.1,589.1,4.67,92,2.78,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,1.816,181.6,0,0.552,0,0,0,0,0,0,0,0,0.151,0,0,0.495,0.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.816,30.4,0,30.4,0,0,0,0,0,0,0,8.3,0,8.3,27.3,34,0,0,0,0,0,0,0.552,0,0.581,0.493,0.045,0,0,0,0.183,31.713,0.005,0,30.975,10.253,0,0,0,0,0,0.05,0,0,0,0,0.039,0,0,0,0,74.889,0.7,0,0.7,0.8,0.7,0.1,0,1.6,0,0.2,42.3,0,42.5,41.4,13.7,0,0,0,0.1,0.1,0.2,109.8143595,0.095457441,0.086445013,0.207752473,0.036820796,11.69114472,6.69E-12,NA,NA,109.3823731,106.4220828,556.5255,2557.5409,63.6778,18.858105,0.086445013,0.02915601,ST,ST,0,98,0.142888
NLA06608-0179,PROB_Lake,1,6/4/07,YES,-101.0545158,44.36456222,-401582.7999,778855.3403,-101.05303,44.36405,,SD,South Dakota,STANLEY,Region_8,,,"(10,20]",46.21800441,4621.800441,46.21800441,NO,43,Northwestern Great Plains,IV,Great Plains Grass and Shrublands,IVman,MAN-MADE,10.57223489,02:>10-50 ha,0.105722349,2.223440745,1.929022201,2,2,597.43,10,10140102,1.01E+13,9.3,209,5181,11.7,3501.2,55.21,12710,18.4,3:MOST DISTURBED,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,3:MOST DISTURBED,0.001798644,0.551,55.1,0,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0.284,0,0,0,0,0.086,0,0,0,0,0,0.005,0,0,0,0,0.551,31.9,0,31.9,0,0,0,0,0,0,0,0,0,0,0,51.5,0,15.6,15.6,0,0.9,0.9,0.759,0,0.954,0.166,0,0,0.014,0,0.01,0,0,0,0.005,20.575,0,0,0,0,23.097,0.33,0,0,0,0,0.311,0,0,0,0,46.221,1.6,0,1.6,2.1,0.4,0,0,2.5,0,0,0,0,0,0,44.5,0,50,50,0.7,0.7,1.4,437.163995,0.210309435,0,0.309234347,0.02539842,NA,NA,25.931133,0.561061283,NA,472.9435524,36.1928,86.311,12.97824,4.401002,0,0,ST,ST,1,160,2.000067
NLA06608-2217,PROB_Lake,1,6/5/07,,-111.0896969,34.4202345,-1370397.91,-235805.5562,-111.086798,34.427861,,AZ,Arizona,COCONINO,Region_9,Knoll Lake,Knoll Lake,"(20,50]",10.21157206,1021.157206,10.21157206,NO,23,Arizona/New Mexico Mountains,II,Western Forested Mountains,II,MAN-MADE,24.1384051,02:>10-50 ha,0.241384051,5.230725477,3.003327619,9.7,9.7,2220,15,15020008,1.50E+13,6.2,9,300,1.65,115.4,6.93,22,2.79,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,1.185,118.5,0,0.145,0,0,0,0,0,0.022,0,0,0.991,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.185,12.2,0,12.2,0,0,0,0,0,1.9,0,83.6,0,83.6,0,2.3,0,0,0,0,0,0,0.145,0,0.028,0,0,0,0.022,0,0,9.533,0,0,0.011,0.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.212,1.4,0,1.4,0.3,0,0,0,0.3,0.2,0,93.4,0,93.4,0.1,4.6,0,0,0,0,0,0,42.3042534,0.216697228,0.068688671,0.10039801,0.039452736,1.709217634,1.67E-12,13.31899,1.304303574,241.9638656,241.9638656,17.757542,53.65024,72.416,25.888197,0.068688671,0.033006244,ST,ST,0,2340,0.299625
NLA06608-4504,PROB_Lake,1,6/5/07,,-96.04132091,36.81228138,-3652.019937,-77062.06778,-96.04244,36.81593,,OK,Oklahoma,OSAGE,Region_6,Lake Hudson,Hudson Lake,>100,35.37124208,3537.124208,35.37124208,YES,29,Cross Timbers,IX,Southeastern Temperate Forested Plains and Hills,IX,MAN-MADE,103.4514681,04:>100-500 ha,1.034514681,10.05281402,2.788138781,5.8,6,230.56,11,11070106,1.11E+13,9.4,32,680,4.32,976.7,7.8,142,18.51,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,2.719,271.9,0,1.13,0,0.087,0,0,0,0,0,1.155,0.019,0,0,0,0.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.719,41.6,0,41.6,3.2,0,0,0,3.2,0,42.5,0.7,0,43.2,0,12.1,0,0,0,0,0,0,1.191,0,1.492,0,0,0,0,0,14.122,0.041,0,0,0,16.205,0,0,0,2.319,0,0,0,0,0,0,0,0,0,0,0,35.37,3.4,0,3.4,4.2,0,0,0,4.2,0,39.9,0.1,0,40,0,45.8,6.6,0,6.6,0,0,0,34.1911456,0.097174204,0.191130298,0.107693028,0.042452904,4.434804806,1.93E-12,53.1671,1.503116642,593.2916775,360.6352998,292.53076,2208.82728,34.94383,14.678475,0.191130298,0.058084772,ST,ST,0,143,0.491311
NLA06608-0624,PROB_Lake,1,6/5/07,,-89.02743535,39.37683345,594626.5474,232182.2341,-89.021111,39.366944,,IL,Illinois,CHRISTIAN,Region_5,,Lake Pana,"(20,50]",17.06377162,1706.377162,17.06377162,YES,54,Central Corn Belt Plains,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,31.82152563,02:>10-50 ha,0.318215256,5.446698377,2.723754089,10.7,10.7,195.91,7,7140201,7.14E+12,8.2,49,1274,6.3,1908.4,6.13,280,35.2,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,1.353,135.3,0,0.31,0,0.14,0.052,0,0,0,0,0.545,0,0,0,0,0,0,0,0,0.274,0.032,0,0,0,0,0,0,0,0,0,0,1.353,22.9,0,22.9,10.3,3.8,0,0,14.1,0,40.3,0,0,40.3,0,0,20.3,2.4,22.7,0,0,0,0.301,0,1.036,0.274,0,0,0,0,0.967,0,0,0,0,0.009,0,0,0,1.525,12.952,0,0,0,0,0,0,0,0,0,0,17.064,1.8,0,1.8,6.1,1.6,0,0,7.7,0,5.7,0,0,5.7,0,0.1,8.9,75.9,84.8,0,0,0,53.62336118,0.171163961,3.266873545,1.022917978,0.078036501,7.969509682,6.88E-12,35.81207,2.098719908,75.1113305,75.11115935,7.237068,28.54187,8.26407,3.6107028,3.266873545,0.200930954,ST,ST,0,90,0.284351
NLA06608-0765,PROB_Lake,1,6/5/07,,-79.05296653,40.16155115,1423302.987,425536.2459,-79.051693,40.161464,,PA,Pennsylvania,SOMERSET,Region_3,Stoughton Lake,Stoughton Lake,"(10,20]",25.02461963,2502.461963,25.02461963,NO,69,Central Appalachians,XI,The Central and Eastern Forested Uplands,XI,MAN-MADE,18.17031425,02:>10-50 ha,0.181703142,3.573710622,2.365011364,1.5,1.5,551.86,5,5010007,5.01E+12,8.4,29,507,5.3,576.2,2.51,158,11.39,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,0.925,92.5,0,0.182,0,0.123,0,0,0,0.006,0,0.351,0.05,0.019,0,0,0,0,0,0,0.167,0.027,0,0,0,0,0,0,0,0,0,0,0.925,19.7,0,19.7,13.3,0,0,0,13.3,0.6,37.9,5.4,2.1,45.4,0,0,18.1,2.9,21,0,0,0,0.182,0,1.462,0.23,0.045,0.009,0.058,0,13.939,1.267,0.219,0,0,0,0,0,0,6.005,1.595,0.005,0,0,0,0,0,0,0,0,0,25.016,0.7,0,0.7,5.8,0.9,0.2,0,6.9,0.2,55.7,5.1,0.9,61.7,0,0,24,6.4,30.4,0,0,0,137.7225473,0.196678526,0.792079208,0.659903607,0.064657183,8.388911339,8.39E-12,69.0771984,2.760369043,65.64487049,65.64487049,501.73535,2785.5931,35.2752,9.805616,0.792079208,0.145814581,ST,ST,1,2,2.142893
NLA06608-1129,PROB_Lake,1,6/6/07,,-111.2044517,34.53807855,-1378631.518,-221135.1655,-111.194922,34.553696,,AZ,Arizona,COCONINO,Region_9,Blue Ridge Reservoir,Blue Ridge,>100,184.2098932,18420.98932,184.2098932,NO,23,Arizona/New Mexico Mountains,II,Western Forested Mountains,II,MAN-MADE,118.4056521,04:>100-500 ha,1.184056521,23.6706404,6.136473437,19.2,19.2,2048,15,15020008,1.50E+13,6.2,12,336,3.01,686.3,4.97,78,4.32,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,0.001798644,4.98,498,0,0.201,0,0.05,0.005,0,0,0.19,0,0,4.09,0,0,0.359,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.98,4,0,4,1,0.1,0,0,1.1,3.8,0,82.1,0,82.1,7.2,1.7,0,0,0,0,0,0,0.207,0,0.589,0.005,0,0,0.185,0,0,181.319,0,0,0.525,1.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.198,0.1,0,0.1,0.3,0,0,0,0.3,0.1,0,98.4,0,98.4,0.3,0.7,0,0,0,0,0,0,155.5752533,0.199911406,0.083414161,0.06481376,0.028430266,3.803717684,8.16E-13,229.8649,1.247842326,661.0315223,371.296532,24.758615,104.9015,170.4498,37.74884,0.083414161,0.019010669,ST,ST,0,4833,0.153683
NLA06608-1655,PROB_Lake,1,6/6/07,,-99.20744764,45.27488186,-251484.8308,873757.0393,-99.20512,45.27604,,SD,South Dakota,EDMUNDS,Region_8,Stafford Dam,Loyalton Dam,"(10,20]",66.47395319,6647.395319,66.47395319,NO,42,Northwestern Glaciated Plains,V,South Central Cultivated Great Plains,V,MAN-MADE,12.79646985,02:>10-50 ha,0.127964698,2.119757376,1.671614518,1.5,1.5,495.65,10,10160008,1.02E+13,9.3,896,12241,69.5,13414.7,43.59,4557,542.4,3:MOST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,3:MOST DISTURBED,0.001798644,0.571,57.1,0,0.142,0,0.05,0,0,0,0,0,0,0,0,0,0,0.343,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0.571,24.9,0,24.9,8.8,0,0,0,8.8,0,0,0,0,0,0,60.1,0,6.3,6.3,0,0,0,4.303,0,2.153,0.029,0.002,0,0,0,0.388,0,0,0,0.168,40.266,0,0,0,1.339,17.054,0,0,0,0,0,0.77,0,0,0,0,66.472,6.5,0,6.5,3.2,0,0,0,3.2,0,0.6,0,0,0.6,0.3,60.6,2,25.7,27.7,0,1.2,1.2,519.4710258,0.165651731,0.36,0.161906376,0.033604543,1.321619008,2.26E-12,66.66838,1.002924875,146.7711374,146.7711374,53.305935,313.52005,7.45605,2.7854106,0.36,0.089230769,ST,ST,1,270,3.000037
